StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,b01,b02,b03,b03_19_TEXT,b04,b04_5_TEXT,b05,b06,b07,b07_5_TEXT,b08,b08a,b08b,b09,b10,b10a,o01_1,o01_2,o01_3,o01_4,o01_5,o02,o03_1,o03_2,o03_3,a01,a02,a03,a04,a04a,a05_1,a05_2,a05_3,a05_4,ao5a,a06,a07,a08,a09,a10,a10a,a11,a12,a12a,a13,a14_1,a14_2,a14_3,a15_1,a15_2,a15_3,a16_1,a16_2,a16_3,a17_1,a17_2,a17_3,e01_1,e01_2,e01_3,e02,e03_1,e03_2,e03_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Enter your initials:

Example: If your name is Henry Rutgers, you would enter ""HR""",Select your age range:,Select the course number you are currently taking: - Selected Choice,Select the course number you are currently taking: - Other: - Text,What year are you in? - Selected Choice,What year are you in? - Other - Text,How long have you studied Spanish? (Number of years/semesters),"In your daily routine (at home, with friends. family, etc) do you speak any language other than English? If so, which one.",How did you start learning Spanish? - Selected Choice,How did you start learning Spanish? - Other - Text,Have you ever been enrolled in an online course before COVID?,Was it any different?,How?,How far do you live from campus?,Are you currently working while taking courses at Rutgers?,How many hours do you work per week?,"Please rate your comfort on a scale from 1 to 5. 
1 = least comfortable 
5 = most comfortable

How comfortable do you feeling using the following tools: - Canvas","Please rate your comfort on a scale from 1 to 5. 
1 = least comfortable 
5 = most comfortable

How comfortable do you feeling using the following tools: - Zoom","Please rate your comfort on a scale from 1 to 5. 
1 = least comfortable 
5 = most comfortable

How comfortable do you feeling using the following tools: - Voicethread","Please rate your comfort on a scale from 1 to 5. 
1 = least comfortable 
5 = most comfortable

How comfortable do you feeling using the following tools: - MySpanishLab","Please rate your comfort on a scale from 1 to 5. 
1 = least comfortable 
5 = most comfortable

How comfortable do you feeling using the following tools: - VHLcentral","Have you ever used language learning apps, such as Duolingo, to improve your Spanish?","Please rate how accessible the following tools are to you whenever you need them on a scale of 1 to 5. 
1 = not readily accessible 
5 = readily accessible - A computer/laptop/tablet","Please rate how accessible the following tools are to you whenever you need them on a scale of 1 to 5. 
1 = not readily accessible 
5 = readily accessible - Reliable/stable internet connection","Please rate how accessible the following tools are to you whenever you need them on a scale of 1 to 5. 
1 = not readily accessible 
5 = readily accessible - Software and technology required for online courses",What motivated you to sign up for a language course this semester? And to learn an additional language in general?,"If you are taking an in person class, why did you choose it over an online class?

If you are taking an online class, skip to the next question.","If you are taking an online class, why did you choose it over an in person class?",Do you feel like you have progressed in your language abilities thus far?,Why do you feel like you haven't progressed?,"For the following questions, please rate on a scale of 1 to 5 how much practice you have had this semester in speaking, reading, writing, and listening in the target language.

1 = no practice at all
5 = a lot of practice - Do you feel like you have had sufficient speaking practice in the target language?","For the following questions, please rate on a scale of 1 to 5 how much practice you have had this semester in speaking, reading, writing, and listening in the target language.

1 = no practice at all
5 = a lot of practice - Do you feel like you have had sufficient reading practice in the target language?","For the following questions, please rate on a scale of 1 to 5 how much practice you have had this semester in speaking, reading, writing, and listening in the target language.

1 = no practice at all
5 = a lot of practice - Do you feel like you have had sufficient writing practice in the target language?","For the following questions, please rate on a scale of 1 to 5 how much practice you have had this semester in speaking, reading, writing, and listening in the target language.

1 = no practice at all
5 = a lot of practice - Do you feel like you have had sufficient listening practice in the target language?","Why do you feel like you haven't had enough practice in speaking, reading, writing, or listening?",What are some positive aspects of taking a face-to-face format Spanish class?,What are some negative aspects of taking a face-to-face format Spanish class?,What are some positive aspects of taking an online format Spanish class?,What are some negative aspects of taking an online format Spanish class?,Is it easier to stay motivated in an online or face-to-face class format?,Why?,"Are there other aspects of online language teaching that are valuable, especially in comparison to face-to-face instruction?","Do you think online education is similar to face-to-face, or is it more efficient?",Why?,"On a scale of 1 to 5, how effective do you believe online language education is? (in comparison to face-to-face or hybrid)

1 = not effective at all
5 = very effective","On a scale of 1 to 5, where 1 is the least anxious, and 5 is the most anxious, how anxious do you feel in the following language class formats? - Online","On a scale of 1 to 5, where 1 is the least anxious, and 5 is the most anxious, how anxious do you feel in the following language class formats? - Face-to-face","On a scale of 1 to 5, where 1 is the least anxious, and 5 is the most anxious, how anxious do you feel in the following language class formats? - Hybrid","On a scale of 1 to 5, where 1 is the least comfortable, and 5 is the most comfortable, how comfortable do you feel in the following language class formats? - Online","On a scale of 1 to 5, where 1 is the least comfortable, and 5 is the most comfortable, how comfortable do you feel in the following language class formats? - Face-to-face","On a scale of 1 to 5, where 1 is the least comfortable, and 5 is the most comfortable, how comfortable do you feel in the following language class formats? - Hybrid","On a scale of 1 to 5, where 1 is the least communication, and 5 is the most communication, how do you rate the communication you have with instructors in the following language class formats? - Online","On a scale of 1 to 5, where 1 is the least communication, and 5 is the most communication, how do you rate the communication you have with instructors in the following language class formats? - Face-to-face","On a scale of 1 to 5, where 1 is the least communication, and 5 is the most communication, how do you rate the communication you have with instructors in the following language class formats? - Hybrid","On a scale of 1 to 5, where 1 is not well at all and 5 is extremely well, how well do you manage your time in the following language class formats? - Online","On a scale of 1 to 5, where 1 is not well at all and 5 is extremely well, how well do you manage your time in the following language class formats? - Face-to-face","On a scale of 1 to 5, where 1 is not well at all and 5 is extremely well, how well do you manage your time in the following language class formats? - Hybrid","Answer the following using a scale of 1-5 on usefulness where: 

1 = not useful at all
5 = extremely useful - How do you rate the usefulness of learning Spanish?","Answer the following using a scale of 1-5 on usefulness where: 

1 = not useful at all
5 = extremely useful - How useful do you think it is being enrolled in a Spanish course in comparison to others such as psychology, economics, or law?","Answer the following using a scale of 1-5 on usefulness where: 

1 = not useful at all
5 = extremely useful - How useful do you think taking a Spanish class will help you in your life (communication, job finding, etc)?","In comparison to face-to-face classes, do online classes facilitate having a job while attending university?","On a scale of 1-5, where 1 is the worst school-life balance and 5 is the best school-life balance, how well does being in the following language class formats allow you to maintain a healthy balance between course work and outside activities (work, family, personal duties, etc.) - Online","On a scale of 1-5, where 1 is the worst school-life balance and 5 is the best school-life balance, how well does being in the following language class formats allow you to maintain a healthy balance between course work and outside activities (work, family, personal duties, etc.) - Face-to-face","On a scale of 1-5, where 1 is the worst school-life balance and 5 is the best school-life balance, how well does being in the following language class formats allow you to maintain a healthy balance between course work and outside activities (work, family, personal duties, etc.) - Hybrid"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_19_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_5_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_5_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID37""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID55_3""}","{""ImportId"":""QID55_4""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51_6""}","{""ImportId"":""QID51_7""}","{""ImportId"":""QID51_8""}"
2022-10-09 12:29:52,2022-10-09 12:31:36,IP Address,128.6.37.93,100,104,True,2022-10-09 12:31:37,R_1g8Dp1clJ5JjNCO,,,,,40.488,-74.4544,anonymous,EN,NR,45+,940:131:91,,Senior,,100,NO,At home,,No,,,20+ miles away,No,,5 - most comfortable,4,3,2,1 - least comfortable,Yes,1 = not readily accessible when I need it,2,3,NOTHING,nothing,nothing,Yes,,1 = none at all,3,3,4,because," na",na,na,na,Online,idk,idk,More efficient,,1,1 = least anxious,2,3,2,3,4,3,4,5 = most communication,1 = Not well at all,2,3,1 = not useful at all,2,3,No,1 = not a good school-life balance,3,5 = great school-life balance
2022-10-12 07:40:29,2022-10-12 07:55:17,IP Address,128.6.37.43,100,887,True,2022-10-12 07:55:18,R_emnuDDBucq9hWo1,,,,,40.5511,-74.4606,anonymous,EN,BH,18-25,Other:,940:261:01,Freshman,,4 years in high school,No,Face-to-face,,No,,,1-5 miles away,Yes,0-5 hours,3,4,1 - least comfortable,1 - least comfortable,1 - least comfortable,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,4,I signed up for Spanish in part to fulfill the core curriculum and in part because I am considering a major/minor in Spanish.,I find online classes tend to be a little disorganized so I try to avoid them.,,Yes,,4,5 = a lot of practice,4,5 = a lot of practice,,"Easier to communicate with professor and classmates, usually less work","Having to get to class, in-class assignments","Freedom to attend class from anywhere, less pressure",Difficult to communicate with professor/classmates,Face-to-face,"Face-to-face classes feel more real, whereas online classes are sometimes forgettable.",Not particularly,Niether,,4,4,3,3,3,5 = most comfortable,4,3,5 = most communication,4,3,5 = extremely well,4,5 = extremely useful,4,4,No,3,4,3
2022-10-12 08:31:43,2022-10-12 08:40:37,IP Address,24.45.167.221,100,533,True,2022-10-12 08:40:38,R_2ypFrFxhP73c0By,,,,,40.488,-74.4544,anonymous,EN,LC,18-25,Other:,"940:325:01, 940:215:01, 940:261:01, 940:389:M1",Senior,,over 10 yrs,no,Face-to-face,,No,,,20+ miles away,Yes,20 + hours,4,4,3,2,2,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"I’ve always wanted to learn Spanish. ","It’s more effective to be in person when learning another language. ",n/a,Yes,,5 = a lot of practice,5 = a lot of practice,4,4,,"I think it’s way easier to learn spanish in an in person class rather than online. ",n/a,"easier for your schedule ",not as engaging as in person,Face-to-face,more engagement during an in person class,,Niether,,3,4,3,3,1 = least comfortable,5 = most comfortable,5 = most comfortable,1 = least communication,5 = most communication,5 = most communication,2,3,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,No,2,2,2
2022-10-12 09:32:39,2022-10-12 09:39:19,IP Address,128.6.37.15,100,399,True,2022-10-12 09:39:20,R_2rAVO3VV1Oyv4Zs,,,,,40.5511,-74.4606,anonymous,EN,ZJ,18-25,940:132:90,,Junior,,3.5 semesters,"Yes, Hindi/urdu",Online,,No,,,20+ miles away,Yes,10-15 hours,5 - most comfortable,5 - most comfortable,2,2,,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"I need a language requirement for the Honors program. ",,"Online classes are much more flexible to work with my schedule. It allows me to work on. my own time. ",Yes,,3,5 = a lot of practice,5 = a lot of practice,2,There are not many listening activities. I wish there was less reading and writing and more speaking and listening.,I have not taken a face to face spanish class,I have not taken a face to face spanish class,More flexible times,Less time wasted in commuting,Online,There is not too much pressure and I am under control of when I study or learn,Having my own schedule of when to learn,More efficient,It lets students have more autonomy and there is less resentment towards the class,4,1 = least anxious,4,3,3,3,3,2,4,3,5 = extremely well,2,3,3,2,3,Yes,5 = great school-life balance,2,3
2022-10-12 09:33:20,2022-10-12 09:40:35,IP Address,128.6.36.225,100,434,True,2022-10-12 09:40:35,R_1lrQwCXX0I9cMn0,,,,,40.5511,-74.4606,anonymous,EN,KD,18-25,940:132:90,,Sophomore,,"3 years, 1 semester at Rutgers",No,Face-to-face,,No,,,1-5 miles away,No,,5 - most comfortable,4,1 - least comfortable,4,,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"I need to take language courses to graduate as a part of my honors program, but I chose Spanish in particular because my mother's side of the family speaks fluent Spanish.",,I could not fit an in person class into my weekly schedule,Yes,,4,4,5 = a lot of practice,4,,Real time feedback,Could get lost very easily,Easier to stay on top of work,Losing the connection between student and professor,Online,I find online classes to be easier to be motivated in in general because the list format of things to do (such as homework or readings being assigned) is easier for my learning style to comprehend and stay on top of.,"Online language teaching can provide resources that face-to-face cannot; for instance, the professor can share links or make videos for the students to access at any time when they want, versus just having to memorize what was said in class that day.",More efficient,I think online education is more efficient because it is easier for both the professor and the student to stay organized with assignments and learning objectives.,4,1 = least anxious,5 = most anxious,3,5 = most comfortable,1 = least comfortable,3,3,3,3,5 = extremely well,3,4,4,3,2,Yes,5 = great school-life balance,2,3
2022-10-12 09:35:45,2022-10-12 09:45:01,IP Address,128.6.37.72,100,555,True,2022-10-12 09:45:01,R_1jTasJro1IgNqm9,,,,,40.5511,-74.4606,anonymous,EN,FH,18-25,940:132:90,,Freshman,,4 in highschool,"Yes, Japanese",Other,School,No,,,1-5 miles away,Yes,10-15 hours,5 - most comfortable,5 - most comfortable,,4,,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,4,"I'd like to minor in Global and International Studies and saw that there was a language requirement.  ",,"I didn't choose because it was an online, but I realized it was the only available language course that would work with my schedule. ",Yes,,4,4,4,4,,More engagement with language with other people,"Sometimes more pressure to ""perform"" or feeling need to participate for the sake of a grade",More time to complete work and assignments. Can learn more at your pace and practice language without pressure,,Online,"Less pressure, feels more enjoyable to learn it ",,Niether,,4,2,5 = most anxious,,5 = most comfortable,2,,1 = least communication,4,,5 = extremely well,3,,5 = extremely useful,4,5 = extremely useful,Yes,5 = great school-life balance,3,
2022-10-12 09:47:46,2022-10-12 10:01:02,IP Address,128.6.37.226,100,795,True,2022-10-12 10:01:03,R_73655ISwM93aLct,,,,,40.5511,-74.4606,anonymous,EN,GF,18-25,940:132:90,,Sophomore,,"Second semester at Rutgers and two years in high school ",No,Face-to-face,,No,,,1-5 miles away,No,,5 - most comfortable,4,3,3,4,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"Quite frankly, I need to take a language class for my degree, but I chose Spanish because it's very applicable to living in the United States. A lot of people speak Spanish and it would be nice to be more able to communicate with people in my community and neighborhood.",,"I like the freedom to learn at my own pace and honestly, it is easier than an in person class. Language has always been difficult for me so having a way to still learn something without being overwhelmed with an in person class is really cool.",Yes,,3,4,3,3,"It is an online course so there is less immersion in the language, with most of my Spanish experience coming from assignments as opposed to the classwork and dialogue in an in person class.","You are a lot more immersed in the language, with Spanish being the primary language being spoken. This forces you to learn if you want to keep up.","It is a very intense experience, with the presume of learning being very high.","You can get work done at your own pace and revisit problem areas as much as you need, allowing for language acquisition to be more integrated into normal life.",You can skate your way through a lot easier; you can pass the class without learning much functional Spanish.,Face-to-face,"You have to show up and be prepared, so staying motivated is a matter of success and failure.","It's a lot more accessible, like people that normally would not take a language class at all would be willing to take an online course.",Niether,,2,2,4,4,4,3,3,4,4,4,2,1 = Not well at all,2,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,5 = great school-life balance,5 = great school-life balance,5 = great school-life balance
2022-10-12 09:54:47,2022-10-12 11:10:32,IP Address,128.6.37.189,100,4545,True,2022-10-12 11:10:33,R_pKl9Im5vDC7UQDf,,,,,40.488,-74.4544,anonymous,EN,MG,18-25,940:132:01,,Freshman,,"7 years ","Yes, I speak spanish with my friends ",Face-to-face,,No,,,1-5 miles away,No,,4,5 - most comfortable,2,4,2,Yes,5 = readily accessible when I need it,4,5 = readily accessible when I need it,I am double majoring in Spanish and English which is why I am currently enrolled in another language. I love being able to expand my knowledge and learn new things considering that Spanish is my second language,I took an in person class because I perform better as a student that way. Having a professor who is there to help you is reassuring compared to it being over a screen.,,Yes,,4,4,5 = a lot of practice,4,,"You are able to learn from your classmates and your professor is able to give you feedback while you are talking in class. ","I do not think that there are any downsides to being in person. I think the only negative thing about being in class and this goes for every class offered, is the chance of picking up COVID from other students ","You are able to do the work on your own time ","You tend to slack off and procrastinate your work till the last minute. The in-person connection is not there ",Face-to-face,You are openly and frequently engaged when you are in person,N/A,Niether,,3,3,1 = least anxious,2,2,5 = most comfortable,2,2,5 = most communication,3,2,5 = extremely well,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,N/A,2,4,3
